OS; CVE; PUBLIC_DATE; AUTHENTICATION; COMPLEXITY; VECTOR; CVSS; CWE; AVAILABILITY; CONFIDENTIALITY; INTEGRITY; SUMMARY;
Windows; CVE-2003-0078; 2003-03-03 00:00:00; NONE; LOW; NETWORK; 5.0;NONE;NONE;PARTIAL;NONE;ssl3_get_record in s3_pkt.c for OpenSSL before 0.9.7a and 0.9.6 before 0.9.6i does not perform a MAC computation if an incorrect block cipher padding is used, which causes an information leak (timing discrepancy) that may make it easier to launch cryptographic attacks that rely on distinguishing between padding and MAC verification errors, possibly leading to extraction of the original plaintext, aka the "Vaudenay timing attack.";
Windows; CVE-2011-4619; 2012-01-05 20:55:01.003000; NONE; LOW; NETWORK; 5.0;CWE-399;PARTIAL;NONE;NONE;The Server Gated Cryptography (SGC) implementation in OpenSSL before 0.9.8s and 1.x before 1.0.0f does not properly handle handshake restarts, which allows remote attackers to cause a denial of service (CPU consumption) via unspecified vectors.;
Windows; CVE-2011-4576; 2012-01-05 20:55:00.877000; NONE; LOW; NETWORK; 5.0;CWE-310;NONE;PARTIAL;NONE;The SSL 3.0 implementation in OpenSSL before 0.9.8s and 1.x before 1.0.0f does not properly initialize data structures for block cipher padding, which might allow remote attackers to obtain sensitive information by decrypting the padding data sent by an SSL peer.;
Windows; CVE-2011-4108; 2012-01-05 20:55:00.783000; NONE; MEDIUM; NETWORK; 4.3;CWE-310;NONE;PARTIAL;NONE;The DTLS implementation in OpenSSL before 0.9.8s and 1.x before 1.0.0f performs a MAC check only if certain padding is valid, which makes it easier for remote attackers to recover plaintext via a padding oracle attack.;
Windows; CVE-2012-0027; 2012-01-05 20:55:01.050000; NONE; LOW; NETWORK; 5.0;CWE-399;PARTIAL;NONE;NONE;The GOST ENGINE in OpenSSL before 1.0.0f does not properly handle invalid parameters for the GOST block cipher, which allows remote attackers to cause a denial of service (daemon crash) via crafted data from a TLS client.;
Windows; CVE-2011-4577; 2012-01-05 20:55:00.957000; NONE; MEDIUM; NETWORK; 4.3;CWE-399;PARTIAL;NONE;NONE;OpenSSL before 0.9.8s and 1.x before 1.0.0f, when RFC 3779 support is enabled, allows remote attackers to cause a denial of service (assertion failure) via an X.509 certificate containing certificate-extension data associated with (1) IP address blocks or (2) Autonomous System (AS) identifiers.;
Windows; CVE-2011-1945; 2011-05-31 16:55:05.267000; NONE; HIGH; NETWORK; 2.6;CWE-310;NONE;PARTIAL;NONE;The elliptic curve cryptography (ECC) subsystem in OpenSSL 1.0.0d and earlier, when the Elliptic Curve Digital Signature Algorithm (ECDSA) is used for the ECDHE_ECDSA cipher suite, does not properly implement curves over binary fields, which makes it easier for context-dependent attackers to determine private keys via a timing attack and a lattice calculation.;
Windows; CVE-2011-4354; 2012-01-26 19:55:01.033000; NONE; MEDIUM; NETWORK; 5.8;CWE-310;NONE;PARTIAL;PARTIAL;crypto/bn/bn_nist.c in OpenSSL before 0.9.8h on 32-bit platforms, as used in stunnel and other products, in certain circumstances involving ECDH or ECDHE cipher suites, uses an incorrect modular reduction algorithm in its implementation of the P-256 and P-384 NIST elliptic curves, which allows remote attackers to obtain the private key of a TLS server via multiple handshake attempts.;
Windows; CVE-2008-7270; 2010-12-06 17:30:31.827000; NONE; MEDIUM; NETWORK; 4.3;CWE-310;NONE;NONE;PARTIAL;OpenSSL before 0.9.8j, when SSL_OP_NETSCAPE_REUSE_CIPHER_CHANGE_BUG is enabled, does not prevent modification of the ciphersuite in the session cache, which allows remote attackers to force the use of a disabled cipher via vectors involving sniffing network traffic to discover a session identifier, a different vulnerability than CVE-2010-4180.;
Windows; CVE-2005-2946; 2005-09-16 18:03:00; NONE; LOW; NETWORK; 5.0;CWE-310;NONE;NONE;PARTIAL;The default configuration on OpenSSL before 0.9.8 uses MD5 for creating message digests instead of a more cryptographically strong algorithm, which makes it easier for remote attackers to forge certificates with a valid certificate authority signature.;
Windows; CVE-2002-0659; 2002-08-12 00:00:00; NONE; LOW; NETWORK; 5.0;NONE;PARTIAL;NONE;NONE;The ASN1 library in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allows remote attackers to cause a denial of service via invalid encodings.;
Windows; CVE-2002-0656; 2002-08-12 00:00:00; NONE; LOW; NETWORK; 7.5;NONE;PARTIAL;PARTIAL;PARTIAL;Buffer overflows in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allow remote attackers to execute arbitrary code via (1) a large client master key in SSL2 or (2) a large session ID in SSL3.;
Windows; CVE-2002-0655; 2002-08-12 00:00:00; NONE; LOW; NETWORK; 7.5;NONE;PARTIAL;PARTIAL;PARTIAL;OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, does not properly handle ASCII representations of integers on 64 bit platforms, which could allow attackers to cause a denial of service and possibly execute arbitrary code.;
Windows; CVE-2005-1797; 2005-05-26 00:00:00; NONE; HIGH; NETWORK; 5.1;NONE;PARTIAL;PARTIAL;PARTIAL;The design of Advanced Encryption Standard (AES), aka Rijndael, allows remote attackers to recover AES keys via timing attacks on S-box lookups, which are difficult to perform in constant time in AES implementations.;
Windows; CVE-2013-3918; 2013-11-12 09:35:11.713000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;The InformationCardSigninHelper Class ActiveX control in icardie.dll in Microsoft Windows XP SP2 and SP3, Windows Server 2003 SP2, Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, and Windows RT Gold and 8.1 allows remote attackers to execute arbitrary code or cause a denial of service (out-of-bounds write) via a crafted web page that is accessed by Internet Explorer, as exploited in the wild in November 2013, aka "InformationCardSigninHelper Vulnerability.";
Windows; CVE-2013-1347; 2013-05-05 07:07:00.527000; NONE; MEDIUM; NETWORK; 9.3;CWE-94;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 8 does not properly handle objects in memory, which allows remote attackers to execute arbitrary code by accessing an object that (1) was not properly allocated or (2) is deleted, as exploited in the wild in May 2013.;
Windows; CVE-2013-1288; 2013-03-12 20:55:01.480000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer CTreeNode Use After Free Vulnerability.";
Windows; CVE-2013-0094; 2013-03-12 20:55:01.387000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer removeChild Use After Free Vulnerability.";
Windows; CVE-2013-0093; 2013-03-12 20:55:01.370000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer onBeforeCopy Use After Free Vulnerability.";
Windows; CVE-2013-0092; 2013-03-12 20:55:01.357000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer GetMarkupPtr Use After Free Vulnerability.";
Windows; CVE-2013-0091; 2013-03-12 20:55:01.327000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer CElement Use After Free Vulnerability.";
Windows; CVE-2013-0090; 2013-03-12 20:55:01.310000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer CCaret Use After Free Vulnerability.";
Windows; CVE-2013-0089; 2013-03-12 20:55:01.293000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer CMarkupBehaviorContext Use After Free Vulnerability.";
Windows; CVE-2013-0088; 2013-03-12 20:55:01.277000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer saveHistory Use After Free Vulnerability.";
Windows; CVE-2013-0087; 2013-03-12 20:55:01.263000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer OnResize Use After Free Vulnerability.";
Windows; CVE-2013-0030; 2013-02-13 07:04:12.243000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;The Vector Markup Language (VML) implementation in Microsoft Internet Explorer 6 through 10 does not properly allocate buffers, which allows remote attackers to execute arbitrary code via a crafted web site, aka "VML Memory Corruption Vulnerability.";
Windows; CVE-2013-0029; 2013-02-13 07:04:12.197000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer CHTML Use After Free Vulnerability.";
Windows; CVE-2013-0024; 2013-02-13 07:04:11.993000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer pasteHTML Use After Free Vulnerability.";
Windows; CVE-2013-0019; 2013-02-13 07:04:11.773000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 7 through 10 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object, aka "Internet Explorer COmWindowProxy Use After Free Vulnerability.";
Windows; CVE-2012-4792; 2012-12-30 13:55:01.477000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6 through 8 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to an object that (1) was not properly allocated or (2) is deleted, as demonstrated by a CDwnBindInfo object, and exploited in the wild in December 2012.;
Windows; CVE-2010-0917; 2010-03-03 14:30:00.667000; NONE; HIGH; NETWORK; 7.6;CWE-119;COMPLETE;COMPLETE;COMPLETE;Stack-based buffer overflow in VBScript in Microsoft Windows 2000 SP4, XP SP2 and SP3, and Server 2003 SP2, when Internet Explorer is used, might allow user-assisted remote attackers to execute arbitrary code via a long string in the fourth argument (aka helpfile argument) to the MsgBox function, leading to code execution when the F1 key is pressed, a different vulnerability than CVE-2010-0483.;
Windows; CVE-2010-0483; 2010-03-03 14:30:00.587000; NONE; HIGH; NETWORK; 7.6;CWE-94;COMPLETE;COMPLETE;COMPLETE;vbscript.dll in VBScript 5.1, 5.6, 5.7, and 5.8 in Microsoft Windows 2000 SP4, XP SP2 and SP3, and Server 2003 SP2, when Internet Explorer is used, allows user-assisted remote attackers to execute arbitrary code by referencing a (1) local pathname, (2) UNC share pathname, or (3) WebDAV server with a crafted .hlp file in the fourth argument (aka helpfile argument) to the MsgBox function, leading to code execution involving winhlp32.exe when the F1 key is pressed, aka "VBScript Help Keypress Vulnerability.";
Windows; CVE-2009-2531; 2009-10-14 06:30:01.780000; NONE; MEDIUM; NETWORK; 9.3;CWE-94;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 6, 6 SP1, 7, and 8 does not properly handle objects in memory, which allows remote attackers to execute arbitrary code by accessing an object that (1) was not properly initialized or (2) is deleted, leading to memory corruption, aka "Uninitialized Memory Corruption Vulnerability," a different vulnerability than CVE-2009-2530.;
Windows; CVE-2009-2530; 2009-10-14 06:30:01.750000; NONE; MEDIUM; NETWORK; 9.3;CWE-94;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 6, 6 SP1, 7, and 8 does not properly handle objects in memory, which allows remote attackers to execute arbitrary code by accessing an object that (1) was not properly initialized or (2) is deleted, leading to memory corruption, aka "Uninitialized Memory Corruption Vulnerability," a different vulnerability than CVE-2009-2531.;
Windows; CVE-2009-2529; 2009-10-14 06:30:01.733000; NONE; MEDIUM; NETWORK; 9.3;CWE-94;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 5.01 SP4, 6, 6 SP1, 7, and 8 does not properly handle argument validation for unspecified variables, which allows remote attackers to execute arbitrary code via a crafted HTML document, aka "HTML Component Handling Vulnerability.";
Windows; CVE-2009-1547; 2009-10-14 06:30:00.937000; NONE; MEDIUM; NETWORK; 9.3;CWE-94;COMPLETE;COMPLETE;COMPLETE;Unspecified vulnerability in Microsoft Internet Explorer 5.01 SP4, 6, 6 SP1, and 7 allows remote attackers to execute arbitrary code via a crafted data stream header that triggers memory corruption, aka "Data Stream Header Corruption Vulnerability.";
Windows; CVE-2010-0249; 2010-01-15 12:30:00.533000; NONE; MEDIUM; NETWORK; 9.3;CWE-399;COMPLETE;COMPLETE;COMPLETE;Use-after-free vulnerability in Microsoft Internet Explorer 6, 6 SP1, 7, and 8 on Windows 2000 SP4; Windows XP SP2 and SP3; Windows Server 2003 SP2; Windows Vista Gold, SP1, and SP2; Windows Server 2008 Gold, SP2, and R2; and Windows 7 allows remote attackers to execute arbitrary code by accessing a pointer associated with a deleted object, related to incorrectly initialized memory and improper handling of objects in memory, as exploited in the wild in December 2009 and January 2010 during Operation Aurora, aka "HTML Object Memory Corruption Vulnerability.";
Windows; CVE-2009-2764; 2009-08-14 11:16:27.530000; NONE; LOW; NETWORK; 5.0;NONE;PARTIAL;NONE;NONE;Microsoft Internet Explorer 8.0.7100.0 on Windows 7 RC on the x64 platform allows remote attackers to cause a denial of service (application crash) via a certain DIV element in conjunction with SCRIPT elements that have empty contents and no reference to a valid external script location.;
Windows; CVE-2009-2064; 2009-06-15 15:30:05.593000; NONE; MEDIUM; NETWORK; 6.8;CWE-287;PARTIAL;PARTIAL;PARTIAL;Microsoft Internet Explorer 8, and possibly other versions, detects http content in https web pages only when the top-level frame uses https, which allows man-in-the-middle attackers to execute arbitrary web script, in an https site's context, by modifying an http page to include an https iframe that references a script file on an http site, related to "HTTP-Intended-but-HTTPS-Loadable (HPIHSL) pages.";
Windows; CVE-2016-0002; 2016-01-13 00:59:01.433000; NONE; HIGH; NETWORK; 7.6;CWE-119;COMPLETE;COMPLETE;COMPLETE;The Microsoft (1) VBScript 5.7 and 5.8 and (2) JScript 5.7 and 5.8 engines, as used in Internet Explorer 8 through 11 and other products, allow remote attackers to execute arbitrary code via a crafted web site, aka "Scripting Engine Memory Corruption Vulnerability.";
Windows; CVE-2015-6184; 2016-03-09 18:59:00.163000; NONE; MEDIUM; NETWORK; 9.3;NONE;COMPLETE;COMPLETE;COMPLETE;The CAttrArray object implementation in Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (type confusion and memory corruption) via a malformed Cascading Style Sheets (CSS) token sequence in conjunction with modifications to HTML elements, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6048 and CVE-2015-6049.;
Windows; CVE-2015-6161; 2015-12-09 06:59:45.213000; NONE; MEDIUM; NETWORK; 4.3;CWE-200;NONE;PARTIAL;NONE;Microsoft Internet Explorer 7 through 11 and Microsoft Edge allow remote attackers to bypass the ASLR protection mechanism via a crafted web site, aka "Microsoft Browser ASLR Bypass.";
Windows; CVE-2015-6154; 2015-12-09 06:59:38.177000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 7 through 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Microsoft Browser Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6150.;
Windows; CVE-2015-6151; 2015-12-09 06:59:35.253000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 8 through 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Microsoft Browser Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6083.;
Windows; CVE-2015-6150; 2015-12-09 06:59:34.270000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6154.;
Windows; CVE-2015-6149; 2015-12-09 06:59:33.300000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6147.;
Windows; CVE-2015-6147; 2015-12-09 06:59:31.190000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6149.;
Windows; CVE-2015-6146; 2015-12-09 06:59:30.093000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 7 and 8 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6145.;
Windows; CVE-2015-6145; 2015-12-09 06:59:28.827000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;Microsoft Internet Explorer 7 and 8 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka "Internet Explorer Memory Corruption Vulnerability," a different vulnerability than CVE-2015-6146.;
Windows; CVE-2015-6144; 2015-12-09 06:59:27.907000; NONE; MEDIUM; NETWORK; 4.3;CWE-79;NONE;NONE;PARTIAL;Microsoft Internet Explorer 8 through 11 and Microsoft Edge mishandle HTML attributes in HTTP responses, which allows remote attackers to bypass a cross-site scripting (XSS) protection mechanism via unspecified vectors, aka "Microsoft Browser XSS Filter Bypass Vulnerability.";
Windows; CVE-2015-6138; 2015-12-09 06:59:21.637000; NONE; MEDIUM; NETWORK; 4.3;CWE-79;NONE;NONE;PARTIAL;Microsoft Internet Explorer 8 through 11 mishandles HTML attributes in HTTP responses, which allows remote attackers to bypass a cross-site scripting (XSS) protection mechanism via unspecified vectors, aka "Internet Explorer XSS Filter Bypass Vulnerability.";
Windows; CVE-2015-6136; 2015-12-09 06:59:20.683000; NONE; MEDIUM; NETWORK; 9.3;CWE-119;COMPLETE;COMPLETE;COMPLETE;The Microsoft (1) VBScript 5.7 and 5.8 and (2) JScript 5.7 and 5.8 engines, as used in Internet Explorer 8 through 11 and other products, allow remote attackers to execute arbitrary code via a crafted web site, aka "Scripting Engine Memory Corruption Vulnerability.";
